НПО
Количество зарегистрированных НПО (по данным минюста)
Регион	2020 	2021 	2022	2023 	2024 	2025
Северо-Казахстанская область	274,6	202,7	228,5	256,4	420,3	402,0
Туркестанская область	510,1	443,3	618,1	623,1	929,6	452,2
область ?лытау	0	0	0	868,7	1223,9	1053,4
Восточно-Казахстанская область	534,9	437,2	377,7	451,0	565,2	795,7
г.Астана	519,8	884	1684,2	2438,8	3284,4	6196,1
г.Алматы	401,8	1953,3	2360,2	4758,2	6066,7	7391,5
г.Шымкент	233,6	456,9	617,5	589,8	475,6	141,0

Количество проектов в рамках грантового финансирования, направленного на поддержку НПО по Республики Казахстан
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	117 проектов	51 проектов	87 проектов	135 проектов	189
проектов	102 проектов
область Абай						
Акмолинская область						
Актюбинская область				1	2	4
Алматинская область				2	2	
Атырауская область			9	11	20	16
Жамбылская область					3	5
область Жетісу				7	9	8
Западно-Казахстанская область				3		
Карагандинская область			3	2	2	
Костанайская область			2			
Кызылординская область						
Мангистауская область			13	42	57	30
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						2
г.Алматы					1	1
г.Шымкент					13	

Объем грантового финансирования, направленного на поддержку НПО по Республике Казахстан (млн.)
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	1 837  	1 422	2 149	2 144	2608	1 808
область Абай						
Акмолинская область						
Актюбинская область				8,0	13,1	25,0
Алматинская область				16,9	13,3	
Атырауская область			64,7	79,3	136,5	144,0

Жамбылская область					16,7	29,5 
область Жетісу				57,0	59,0	71,6
Западно-Казахстанская область				25,0		
Карагандинская область			36,9	16,0	16,0	
Костанайская область			13,5			
Кызылординская область						
Мангистауская область			111,1	329,9	589,0	331,8
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						17,9
г.Алматы					11,1	10,2
г.Шымкент					105,6	


ВОЛОНТЕРСКИЕ ОРГАНИЗАЦИИ
Количество волонтерских организаций
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	224	673	680	свыше 700	745	
область Абай						
Акмолинская область						
Актюбинская область						
Алматинская область						
Атырауская область						
Жамбылская область						
область Жетісу						
Западно-Казахстанская область						
Карагандинская область						
Костанайская область						
Кызылординская область						
Мангистауская область						
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						
г.Алматы						
г.Шымкент						

Количество активных волонтеров (согласно данным местных исполнительных органов)
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	50 тыс.	свыше 100 тыс.	свыше 200 тыс.	240 тыс.	275 тыс.	
область Абай						
Акмолинская область						
Актюбинская область						
Алматинская область						
Атырауская область						
Жамбылская область						
область Жетісу						
Западно-Казахстанская область						
Карагандинская область						
Костанайская область						
Кызылординская область						
Мангистауская область						
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						
г.Алматы						
г.Шымкент						


БЛАГОТВОРИТЕЛЬНЫЕ ОРГАНИЗАЦИИ
Количество благотворительных организаций
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	-	-	-	1071	1371	
область Абай						
Акмолинская область						
Актюбинская область						
Алматинская область						
Атырауская область						
Жамбылская область						
область Жетісу						
Западно-Казахстанская область						
Карагандинская область						
Костанайская область						
Кызылординская область						
Мангистауская область						
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						
г.Алматы						
г.Шымкент						


ОБЩЕСТВЕННЫЕ СОВЕТЫ
Количество общественных советов при акиматах и госорганах
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	217	217	223	223	228	228
область Абай	 -	- 	11	11	13	13
Акмолинская область	20	20	21	21	21	21
Актюбинская область	14	14	14	14	14	14
Алматинская область	21	21	11	11	12	12
Атырауская область	9	9	9	9	9	9
Жамбылская область	12	12	12	12	12	12
область Жетісу	 -	 -	11	11	11	11
Западно-Казахстанская область	14	14	14	14	14	14
Карагандинская область	19	19	14	14	14	14
Костанайская область	21	21	21	21	21	21
Кызылординская область	9	9	9	9	9	9
Мангистауская область	8	8	8	8	8	8
Павлодарская область	14	14	14	14	14	14
Северо-Казахстанская область	16	16	15	15	15	15
Туркестанская область	17	17	18	18	18	18
область ?лытау	- 	 -	6	6	6	6
Восточно-Казахстанская область	20	20	12	12	14	14
г.Астана	1	1	1	1	1	1
г.Алматы	1	1	1	1	1	1
г.Шымкент	1	1	1	1	1	1

Количество заседаний общественных советов и число граждан, участвовавших в них
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	1483	1492	1507	1521	1483	
область Абай						
Акмолинская область						
Актюбинская область						
Алматинская область						
Атырауская область						
Жамбылская область						
область Жетісу						
Западно-Казахстанская область						
Карагандинская область						
Костанайская область						
Кызылординская область						
Мангистауская область						
Павлодарская область						
Северо-Казахстанская область						
Туркестанская область						
область ?лытау						
Восточно-Казахстанская область						
г.Астана						
г.Алматы						
г.Шымкент						

Количество общественных слушаний
Регион	2020 	2021 	2022	2023 	2024 	2025
Казахстан	-	-	-	304	320	737
область Абай				-	31	10
Акмолинская область				23	1	85
Актюбинская область				10	18	57
Алматинская область				59	4	2
Атырауская область				9	48	59
Жамбылская область				18	8	0
область Жетісу				16	17	27
Западно-Казахстанская область				4	7	0
Карагандинская область				2	2	28
Костанайская область				42	2	180
Кызылординская область				1	90	96
Мангистауская область				38	2	8
Павлодарская область				1	17	0
Северо-Казахстанская область				7	21	47
Туркестанская область				17	2	0
область ?лытау				-	13	27
Восточно-Казахстанская область				50	15	32
г.Астана				-	19	68
г.Алматы				1	2	1
г.Шымкент				6	1	10



Как карта Казахстана по регионам
Нажимаешь на регион выходит информация по ним

